epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1004.96,1.47637,1.32169,1.02081,0.39844,0.30324,0.29538,0.16633,1.39161,0.98358,0.96675,0.00999782,0.00333261,0.00999782,0.00333261,0.00999782,0.00333261,0.00999782,0.00333261
2,1700.88,1.44282,1.00986,0.99924,0.62127,0.3115,0.32781,0.18417,1.3505,0.90053,0.95735,0.0190079,0.00633598,0.0190079,0.00633598,0.0190079,0.00633598,0.0190079,0.00633598
3,2676.11,1.45807,0.99964,1.00722,0.57764,0.3136,0.32017,0.17844,1.35665,0.89249,0.96762,0.027028,0.00900935,0.027028,0.00900935,0.027028,0.00900935,0.027028,0.00900935
4,3957.39,1.43755,0.97244,1.00121,0.60621,0.32856,0.34449,0.19364,1.3232,0.85212,0.95436,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
5,5257.49,1.39992,0.92586,0.98559,0.63919,0.34807,0.36269,0.20612,1.29943,0.81706,0.94252,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
6,6132.01,1.37641,0.89712,0.97678,0.65426,0.34976,0.37966,0.21675,1.28146,0.79529,0.93597,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
7,6757.85,1.35715,0.87494,0.96893,0.64757,0.36424,0.38766,0.22161,1.26288,0.77723,0.92961,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
8,7386.08,1.34424,0.86051,0.96395,0.65622,0.37293,0.3996,0.23033,1.25094,0.76208,0.92398,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
9,8012.85,1.33317,0.84427,0.95979,0.6806,0.36582,0.40563,0.23396,1.24361,0.7516,0.92304,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
10,8638.92,1.32314,0.83358,0.95629,0.67808,0.37825,0.41346,0.23943,1.23631,0.74344,0.9191,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
11,9259.07,1.32102,0.81409,0.95282,0.68808,0.37714,0.41944,0.24392,1.23789,0.74068,0.91868,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
12,9870.16,1.3127,0.805,0.95002,0.70066,0.37913,0.42266,0.24525,1.23358,0.73456,0.91761,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
13,10478.8,1.30286,0.79514,0.9468,0.69354,0.387,0.42903,0.24955,1.22786,0.72796,0.91489,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
14,11087.8,1.29649,0.78518,0.94379,0.70326,0.39057,0.43269,0.25256,1.22393,0.72409,0.91335,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
15,11695.6,1.28811,0.77483,0.94077,0.70383,0.38894,0.43286,0.2529,1.22149,0.71974,0.91167,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
16,12309.2,1.28028,0.76628,0.93733,0.70743,0.39127,0.4377,0.2559,1.21865,0.71569,0.90983,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
17,12920.8,1.27342,0.75692,0.93557,0.71096,0.3923,0.43969,0.25776,1.21619,0.71227,0.90897,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
18,13533,1.26444,0.74593,0.93158,0.70305,0.39883,0.44158,0.25876,1.21425,0.70946,0.90793,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
19,14142.6,1.25742,0.73679,0.92881,0.70282,0.40176,0.44364,0.26007,1.21256,0.70703,0.90725,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
20,14752.3,1.2493,0.72654,0.92706,0.70069,0.40126,0.44393,0.26097,1.2118,0.70598,0.90675,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
