epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,707.101,1.60614,0.94601,1.02472,0.55806,0.37018,0.37318,0.19678,1.52964,0.87009,0.99592,0.00999714,0.00333238,0.00999714,0.00333238,0.00999714,0.00333238,0.00999714,0.00333238
2,1539.89,1.58845,0.9264,1.01635,0.62685,0.34929,0.38167,0.19849,1.53417,0.88634,0.99747,0.0196012,0.00653373,0.0196012,0.00653373,0.0196012,0.00653373,0.0196012,0.00653373
3,2486.5,1.60831,0.95266,1.02438,0.49477,0.34195,0.35313,0.18197,1.55257,0.90556,1.0085,0.0288093,0.00960308,0.0288093,0.00960308,0.0288093,0.00960308,0.0288093,0.00960308
4,3419.05,1.62633,0.97213,1.0303,0.56133,0.3492,0.35217,0.17986,1.55679,0.90444,1.00604,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,4339.8,1.62232,0.96782,1.02921,0.56424,0.34443,0.3469,0.17739,1.55101,0.89808,1.00564,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,5273.48,1.61556,0.96281,1.02689,0.57639,0.35364,0.36083,0.18211,1.54119,0.88353,1.00312,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,6204.05,1.61455,0.95645,1.02541,0.61887,0.35685,0.36965,0.18958,1.53438,0.8822,1.00505,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,7076.84,1.6114,0.95291,1.02412,0.62449,0.35211,0.3752,0.19283,1.53063,0.87454,1.00004,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,7996.76,1.60469,0.94873,1.02253,0.61078,0.35871,0.37466,0.19231,1.5238,0.86847,0.99552,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,8836.99,1.59656,0.93916,1.0199,0.59675,0.37097,0.3842,0.20063,1.5182,0.86077,0.99614,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,9327.57,1.59458,0.93713,1.01911,0.60145,0.37486,0.38427,0.19821,1.51427,0.85477,0.99432,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,9814.56,1.58966,0.93088,1.01682,0.61163,0.38404,0.39198,0.20113,1.51068,0.84941,0.99056,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,10297.7,1.59204,0.92986,1.01716,0.58542,0.37566,0.3879,0.2026,1.50865,0.84689,0.99105,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,10803.4,1.58618,0.92764,1.01642,0.60227,0.37631,0.38866,0.20384,1.50234,0.84206,0.98899,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,11624.6,1.58285,0.92182,1.01374,0.60999,0.39246,0.40036,0.20966,1.50065,0.83776,0.98969,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,12338.5,1.57624,0.91428,1.01269,0.60638,0.38297,0.39896,0.20769,1.4986,0.83241,0.98681,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,13073.8,1.5766,0.91608,1.01136,0.60582,0.39265,0.40634,0.21307,1.49305,0.82933,0.98523,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
