epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,118.85,2.198,3.58895,2.20044,0.357,0.02549,0.0088,0.00272,2.68006,5.31822,2.85861,0.00332881,0.00332881,0.0700407
2,237.513,2.18211,3.43012,2.235,0.37941,0.08546,0.05347,0.02098,2.12614,3.62789,2.22016,0.00653023,0.00653023,0.0399088
3,356.781,2.10371,3.2474,2.14141,0.14036,0.11631,0.06044,0.02439,2.17161,3.36323,2.22383,0.00959966,0.00959966,0.00964488
4,468.092,2.02434,3.14479,2.09001,0.19878,0.21016,0.11466,0.04969,1.98605,3.09131,2.08868,0.009406,0.009406,0.009406
5,570.959,1.96345,2.95622,2.02743,0.28396,0.2132,0.13855,0.06483,1.90892,2.86419,2.04201,0.009208,0.009208,0.009208
6,669.631,1.9434,2.87333,2.00141,0.21507,0.22782,0.15238,0.07486,1.89656,2.86522,1.96339,0.00901,0.00901,0.00901
7,772.431,1.9001,2.80591,1.9611,0.26539,0.26703,0.1983,0.09437,1.89121,2.64636,2.03317,0.008812,0.008812,0.008812
8,894.258,1.87065,2.69325,1.92703,0.3193,0.27075,0.21953,0.11098,1.83562,2.55947,1.94327,0.008614,0.008614,0.008614
9,1024.92,1.84756,2.63172,1.89974,0.2901,0.30575,0.23969,0.12354,1.80031,2.449,1.91294,0.008416,0.008416,0.008416
10,1122.07,1.80531,2.57733,1.87378,0.31276,0.3013,0.25232,0.12786,1.80679,2.48382,1.93663,0.008218,0.008218,0.008218
11,1216.93,1.78356,2.49032,1.85998,0.36682,0.32035,0.26929,0.13963,1.772,2.43463,1.8692,0.00802,0.00802,0.00802
12,1312.24,1.77652,2.44198,1.84716,0.34363,0.34741,0.29988,0.15694,1.77408,2.28972,1.86736,0.007822,0.007822,0.007822
13,1409.68,1.77125,2.43304,1.83301,0.32271,0.34912,0.27589,0.14032,1.77072,2.40597,1.88796,0.007624,0.007624,0.007624
14,1506.46,1.75118,2.3765,1.81454,0.36418,0.32478,0.3105,0.16717,1.71896,2.29088,1.83256,0.007426,0.007426,0.007426
15,1605.43,1.72719,2.33267,1.80389,0.43204,0.35431,0.34621,0.18582,1.70605,2.15778,1.81398,0.007228,0.007228,0.007228
16,1703.8,1.7178,2.29673,1.78638,0.43206,0.39376,0.35413,0.19019,1.68738,2.12693,1.79992,0.00703,0.00703,0.00703
17,1802.39,1.70985,2.25738,1.77294,0.3882,0.39155,0.35722,0.19557,1.68693,2.12835,1.78219,0.006832,0.006832,0.006832
18,1902.06,1.68986,2.23251,1.77063,0.42207,0.39165,0.36612,0.20139,1.66043,2.09762,1.76759,0.006634,0.006634,0.006634
19,2001.19,1.68064,2.17546,1.75113,0.46292,0.40727,0.38796,0.21391,1.64965,2.03128,1.75681,0.006436,0.006436,0.006436
20,2101.82,1.67622,2.20526,1.76594,0.48409,0.40101,0.40153,0.22137,1.64312,2.00126,1.75995,0.006238,0.006238,0.006238
21,2278.51,1.66549,2.14722,1.74552,0.49447,0.41168,0.40647,0.22269,1.65009,2.00264,1.75828,0.00604,0.00604,0.00604
22,2399.57,1.64889,2.12169,1.72612,0.46833,0.43735,0.40934,0.22789,1.62169,1.94982,1.73224,0.005842,0.005842,0.005842
23,2493.79,1.64234,2.08589,1.72694,0.45851,0.42294,0.39972,0.22051,1.62993,1.98681,1.7612,0.005644,0.005644,0.005644
24,2680.98,1.63098,2.06819,1.70864,0.49291,0.43633,0.4314,0.24142,1.62039,1.89857,1.72552,0.005446,0.005446,0.005446
25,2854.2,1.61944,2.04025,1.69523,0.49101,0.43126,0.43016,0.2448,1.6074,1.88182,1.70994,0.005248,0.005248,0.005248
26,3032.46,1.61769,2.01614,1.69564,0.48076,0.44967,0.44303,0.25088,1.60297,1.86635,1.71519,0.00505,0.00505,0.00505
27,3211.4,1.61054,1.99591,1.68776,0.50651,0.44759,0.44742,0.25626,1.58766,1.8412,1.71315,0.004852,0.004852,0.004852
28,3388.48,1.59082,1.95295,1.67247,0.52939,0.46876,0.46691,0.26625,1.57148,1.81663,1.69158,0.004654,0.004654,0.004654
29,3566.85,1.58512,1.92814,1.67039,0.50863,0.45796,0.45329,0.26445,1.57494,1.81384,1.68748,0.004456,0.004456,0.004456
30,3744.1,1.57384,1.92959,1.66082,0.51436,0.4711,0.46863,0.2672,1.57095,1.81349,1.68881,0.004258,0.004258,0.004258
31,3921.95,1.56034,1.91053,1.65524,0.53632,0.466,0.47989,0.277,1.56132,1.76539,1.67311,0.00406,0.00406,0.00406
32,4089.85,1.55533,1.89568,1.64313,0.52268,0.47466,0.48116,0.27945,1.55916,1.75516,1.66287,0.003862,0.003862,0.003862
33,4266.58,1.54945,1.87887,1.63269,0.52993,0.48555,0.48443,0.28237,1.54636,1.75204,1.65212,0.003664,0.003664,0.003664
34,4443.28,1.55517,1.86626,1.63265,0.57386,0.48589,0.50502,0.29437,1.53589,1.69506,1.64732,0.003466,0.003466,0.003466
35,4624.86,1.53797,1.82132,1.62267,0.54941,0.48749,0.50567,0.29781,1.51901,1.69353,1.63167,0.003268,0.003268,0.003268
36,4809.44,1.53304,1.80396,1.61765,0.54549,0.5118,0.51648,0.304,1.52182,1.67634,1.62516,0.00307,0.00307,0.00307
37,4992.96,1.51968,1.77267,1.60733,0.54763,0.50369,0.50705,0.30057,1.52903,1.69179,1.6437,0.002872,0.002872,0.002872
38,5174.66,1.51866,1.77966,1.60463,0.57497,0.48806,0.51999,0.30747,1.52072,1.64903,1.62381,0.002674,0.002674,0.002674
39,5356.95,1.50997,1.76205,1.59567,0.59395,0.49552,0.5243,0.31166,1.50631,1.64035,1.60984,0.002476,0.002476,0.002476
40,5541.02,1.48934,1.72391,1.57794,0.57401,0.50537,0.52552,0.31196,1.50437,1.63198,1.60912,0.002278,0.002278,0.002278
41,5743.48,1.45723,1.60601,1.58055,0.59032,0.49135,0.52851,0.31293,1.49487,1.6358,1.61222,0.00208,0.00208,0.00208
42,5926.79,1.44894,1.55767,1.57117,0.5945,0.50715,0.54096,0.3234,1.50081,1.60528,1.60813,0.001882,0.001882,0.001882
43,6106.74,1.44544,1.53806,1.56388,0.60498,0.5066,0.54319,0.32571,1.49532,1.60755,1.60148,0.001684,0.001684,0.001684
44,6253.29,1.43106,1.5185,1.55624,0.60329,0.52354,0.55128,0.32857,1.4909,1.58126,1.59099,0.001486,0.001486,0.001486
45,6379.31,1.42482,1.52169,1.55755,0.60884,0.50275,0.54965,0.32994,1.48311,1.57814,1.59177,0.001288,0.001288,0.001288
46,6509.83,1.41797,1.48754,1.546,0.62561,0.50607,0.55628,0.33287,1.48714,1.56628,1.59205,0.00109,0.00109,0.00109
47,6689.13,1.40838,1.46488,1.52937,0.61614,0.50955,0.55904,0.33574,1.48598,1.5578,1.58647,0.000892,0.000892,0.000892
48,6873.29,1.39982,1.45465,1.52551,0.62966,0.52148,0.56605,0.33654,1.47879,1.54575,1.58484,0.000694,0.000694,0.000694
49,7056.59,1.39216,1.44117,1.52265,0.61668,0.5209,0.56611,0.33913,1.48186,1.5472,1.58401,0.000496,0.000496,0.000496
50,7230.57,1.38513,1.43729,1.52058,0.61296,0.52786,0.56936,0.34022,1.47581,1.53479,1.58242,0.000298,0.000298,0.000298
